Variable,Description
wage,Wage (US dollar per hour)
educ,Number of years of education
race,"Factor with levels: NW (non-white), W (white)"
sex,"Factor with levels: F, M"
hispanic,"Factor with levels: Hisp, NH (non-Hispanic)"
south,"Factor with levels: NS (non-south), S (south)"
married,"Factor with levels: Married, Single"
exper,Number of years of work experience
union,"Factor with levels: Not (not part of union), Union"
age,Age in years
sector,"Factor with levels: clerical, const, manag, manuf, other prof, sales, service"
satisfaction,"1 = satisfied with current employment, 0 = otherwise"
