year,id_,childs,educ,degree,partyid,polviews,gunlaw,owngun,ballot
2024,1,2,4 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,2,0,4 years of college,Graduate,Strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,3,0,2 years of college,Associate/junior college,Strong democrat,Extremely liberal,FAVOR,YES,Ballot c
2024,4,0,12th grade,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,.d:  Do not Know/Cannot Choose,Ballot a
2024,5,3,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,6,2,2 years of college,Associate/junior college,"Independent (neither, no response)",.s:  Skipped on Web,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,7,6,1 year of college,High school,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,8,1,2 years of college,High school,Other party,"Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,9,2,2 years of college,Associate/junior college,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,10,0,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,11,0,6 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,12,1,5th grade,Less than high school,"Independent, close to democrat",Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,13,2,2 years of college,Associate/junior college,Other party,.s:  Skipped on Web,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,14,1,12th grade,High school,"Independent (neither, no response)",Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,15,3,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,YES,Ballot a
2024,16,1,7 years of college,Graduate,Strong democrat,Slightly liberal,OPPOSE,NO,Ballot a
2024,17,2,4 years of college,Bachelor's,"Independent, close to republican","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,18,.s:  Skipped on Web,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,.s:  Skipped on Web,Ballot a
2024,19,1,11th grade,Less than high school,Strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,20,2,8th grade,Less than high school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,21,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,22,2,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,23,0,2 years of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,24,1,12th grade,Less than high school,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,25,2,2 years of college,High school,Not very strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,26,3,6 years of college,Bachelor's,Not very strong republican,Slightly conservative,FAVOR,NO,Ballot c
2024,27,2,4 years of college,Graduate,Strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,28,3,2 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",FAVOR,YES,Ballot c
2024,29,2,2 years of college,Associate/junior college,Strong republican,Conservative,FAVOR,YES,Ballot c
2024,30,3,2 years of college,Bachelor's,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,31,1,1 year of college,High school,Not very strong republican,Slightly conservative,OPPOSE,YES,Ballot c
2024,32,2,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,33,0,12th grade,High school,Not very strong democrat,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,34,0,6 years of college,High school,Other party,Extremely liberal,FAVOR,NO,Ballot a
2024,35,0,12th grade,High school,"Independent, close to republican",Slightly liberal,OPPOSE,NO,Ballot c
2024,36,.n:  No answer,4 years of college,Bachelor's,Other party,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,37,1,4 years of college,Bachelor's,Other party,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,38,5,11th grade,Less than high school,Not very strong democrat,Slightly conservative,FAVOR,NO,Ballot c
2024,39,3,4 years of college,Bachelor's,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,40,0,12th grade,High school,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,41,4,12th grade,High school,"Independent, close to republican",Slightly conservative,FAVOR,YES,Ballot c
2024,42,3,12th grade,High school,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,43,2,5 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,44,1,6 years of college,Graduate,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot c
2024,45,3,5 years of college,Bachelor's,Not very strong republican,Conservative,FAVOR,NO,Ballot c
2024,46,2,5 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,47,0,4 years of college,Graduate,Strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,48,2,4 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,49,2,4 years of college,Graduate,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot a
2024,50,2,11th grade,Less than high school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,51,2,4 years of college,Graduate,Strong democrat,"Moderate, middle of the road",OPPOSE,NO,Ballot c
2024,52,0,6 years of college,Graduate,Strong republican,Slightly conservative,FAVOR,YES,Ballot a
2024,53,0,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,54,0,6th grade,Less than high school,Strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,55,0,4 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot a
2024,56,0,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,57,2,12th grade,High school,"Independent (neither, no response)",.s:  Skipped on Web,FAVOR,NO,Ballot c
2024,58,0,6 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,59,2,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,60,1,1 year of college,High school,"Independent (neither, no response)",Liberal,FAVOR,NO,Ballot c
2024,61,0,6 years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,62,0,4 years of college,Bachelor's,"Independent, close to democrat",Slightly liberal,FAVOR,NO,Ballot a
2024,63,2,12th grade,High school,Not very strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,64,1,3 years of college,High school,Strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,65,0,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,66,2,5 years of college,Graduate,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,67,.n:  No answer,4 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,68,0,5 years of college,Graduate,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,69,0,3 years of college,High school,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,70,0,4 years of college,High school,"Independent (neither, no response)",Slightly conservative,FAVOR,NO,Ballot c
2024,71,2,5 years of college,Graduate,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,72,0,4 years of college,Bachelor's,Not very strong democrat,Slightly conservative,FAVOR,NO,Ballot c
2024,73,0,4 years of college,High school,"Independent (neither, no response)",Conservative,FAVOR,NO,Ballot a
2024,74,0,4 years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,75,4,12th grade,High school,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,76,1,1 year of college,High school,"Independent, close to democrat",Extremely liberal,FAVOR,NO,Ballot a
2024,77,0,4 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,FAVOR,NO,Ballot a
2024,78,0,4 years of college,High school,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,79,0,2 years of college,High school,"Independent (neither, no response)",Conservative,OPPOSE,NO,Ballot c
2024,80,0,4 years of college,Graduate,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot a
2024,81,0,12th grade,Less than high school,Strong republican,"Moderate, middle of the road",.d:  Do not Know/Cannot Choose,NO,Ballot c
2024,82,2,4 years of college,Bachelor's,Strong republican,Conservative,FAVOR,NO,Ballot c
2024,83,2,.d:  Do not Know/Cannot Choose,Less than high school,"Independent (neither, no response)",Liberal,FAVOR,NO,Ballot a
2024,84,5,3rd grade,Less than high school,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,85,3,5 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.n:  No answer,NO,Ballot a
2024,86,8 or more,2 years of college,Associate/junior college,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,87,3,1 year of college,High school,Not very strong democrat,Slightly conservative,FAVOR,NO,Ballot a
2024,88,2,12th grade,High school,Not very strong democrat,Liberal,FAVOR,NO,Ballot a
2024,89,3,2 years of college,Associate/junior college,"Independent (neither, no response)",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,90,0,4 years of college,Graduate,Strong democrat,Extremely liberal,FAVOR,YES,Ballot c
2024,91,2,2 years of college,High school,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,92,3,1 year of college,High school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,93,3,7th grade,Less than high school,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,94,8 or more,5 years of college,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,OPPOSE,NO,Ballot a
2024,95,2,12th grade,High school,"Independent, close to democrat",Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,96,0,1 year of college,High school,"Independent (neither, no response)","Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,97,1,12th grade,Less than high school,Strong democrat,.d:  Do not Know/Cannot Choose,OPPOSE,NO,Ballot a
2024,98,0,12th grade,High school,Strong republican,Slightly liberal,FAVOR,NO,Ballot a
2024,99,0,12th grade,High school,Not very strong democrat,Slightly conservative,FAVOR,NO,Ballot c
2024,100,0,3 years of college,High school,"Independent (neither, no response)",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,101,0,2 years of college,High school,Strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,102,0,4 years of college,High school,Not very strong democrat,Extremely liberal,FAVOR,NO,Ballot a
2024,103,1,8 or more years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,104,0,6 years of college,Bachelor's,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,105,0,4 years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,106,2,12th grade,High school,Strong republican,Extremely conservative,FAVOR,NO,Ballot a
2024,107,3,12th grade,High school,Not very strong republican,Slightly liberal,FAVOR,NO,Ballot a
2024,108,2,12th grade,High school,Strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,109,2,2 years of college,High school,Not very strong democrat,Liberal,FAVOR,NO,Ballot a
2024,110,0,4 years of college,Associate/junior college,Not very strong democrat,Extremely liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,111,0,3 years of college,High school,Strong democrat,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,112,0,12th grade,High school,"Independent (neither, no response)",Slightly liberal,OPPOSE,NO,Ballot c
2024,113,5,12th grade,Less than high school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,114,2,12th grade,High school,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,115,7,2 years of college,High school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,116,4,1 year of college,High school,Not very strong democrat,"Moderate, middle of the road",OPPOSE,NO,Ballot a
2024,117,6,12th grade,High school,Not very strong democrat,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,118,1,1 year of college,High school,Not very strong democrat,Liberal,FAVOR,NO,Ballot c
2024,119,0,12th grade,High school,"Independent (neither, no response)",.d:  Do not Know/Cannot Choose,OPPOSE,NO,Ballot c
2024,120,2,4 years of college,Bachelor's,Strong democrat,.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,121,1,12th grade,High school,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,122,4,.d:  Do not Know/Cannot Choose,Less than high school,Strong republican,Extremely liberal,OPPOSE,NO,Ballot c
2024,123,0,10th grade,Less than high school,"Independent, close to democrat","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,124,0,12th grade,High school,"Independent, close to republican",Extremely liberal,OPPOSE,NO,Ballot a
2024,125,6,1 year of college,High school,Strong democrat,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,126,2,2 years of college,High school,Strong republican,Liberal,FAVOR,NO,Ballot c
2024,127,1,8 or more years of college,Bachelor's,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,128,4,11th grade,Less than high school,Not very strong republican,Conservative,FAVOR,NO,Ballot c
2024,129,0,4 years of college,Bachelor's,"Independent, close to democrat",Liberal,FAVOR,NO,Ballot c
2024,130,2,4 years of college,Bachelor's,Not very strong republican,Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,131,1,5 years of college,Bachelor's,"Independent, close to democrat",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,132,2,6 years of college,Graduate,Strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,133,0,1 year of college,High school,Not very strong democrat,Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,134,4,11th grade,Less than high school,"Independent, close to democrat",Liberal,OPPOSE,NO,Ballot c
2024,135,5,12th grade,High school,"Independent, close to republican",Slightly liberal,FAVOR,NO,Ballot c
2024,136,1,3 years of college,Less than high school,"Independent (neither, no response)",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,137,1,4 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,138,3,8 or more years of college,Graduate,Strong democrat,Liberal,FAVOR,NO,Ballot c
2024,139,2,4 years of college,Bachelor's,Not very strong republican,Extremely conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,140,5,12th grade,High school,Strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,141,3,4 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,142,1,2 years of college,Associate/junior college,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,143,3,6 years of college,Graduate,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot c
2024,144,2,4 years of college,Bachelor's,Not very strong democrat,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,145,2,4 years of college,Graduate,Strong democrat,Extremely liberal,FAVOR,NO,Ballot c
2024,146,2,1 year of college,High school,Not very strong republican,"Moderate, middle of the road",FAVOR,YES,Ballot a
2024,147,1,4 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,148,3,4 years of college,Bachelor's,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,149,3,4 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,150,3,12th grade,High school,Not very strong republican,Conservative,FAVOR,YES,Ballot a
2024,151,3,5 years of college,Bachelor's,"Independent, close to democrat","Moderate, middle of the road",FAVOR,NO,Ballot a
2024,152,0,4 years of college,Bachelor's,Strong republican,Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,153,0,4 years of college,Bachelor's,Strong democrat,Liberal,FAVOR,NO,Ballot a
2024,154,2,12th grade,High school,Strong democrat,Slightly conservative,FAVOR,NO,Ballot a
2024,155,2,8 or more years of college,Graduate,Strong democrat,Slightly liberal,FAVOR,NO,Ballot a
2024,156,3,4 years of college,Bachelor's,"Independent, close to republican","Moderate, middle of the road",FAVOR,YES,Ballot c
2024,157,0,1 year of college,High school,"Independent, close to republican",Slightly conservative,FAVOR,YES,Ballot a
2024,158,2,7 years of college,Graduate,Not very strong republican,"Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,159,1,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,160,0,2 years of college,High school,"Independent, close to democrat",Extremely liberal,FAVOR,NO,Ballot c
2024,161,1,6 years of college,Graduate,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,162,2,4 years of college,Bachelor's,Not very strong democrat,Slightly liberal,FAVOR,NO,Ballot c
2024,163,2,4 years of college,High school,Strong democrat,Liberal,FAVOR,YES,Ballot c
2024,164,2,4 years of college,Bachelor's,Not very strong republican,"Moderate, middle of the road",FAVOR,NO,Ballot a
2024,165,2,8 or more years of college,Graduate,"Independent, close to republican",Conservative,FAVOR,NO,Ballot c
2024,166,4,4 years of college,Bachelor's,"Independent, close to republican",Slightly conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,167,0,8 or more years of college,Graduate,"Independent (neither, no response)",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,168,0,6 years of college,Graduate,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,169,0,4 years of college,Graduate,Not very strong democrat,Liberal,FAVOR,NO,Ballot a
2024,170,0,5 years of college,Graduate,"Independent, close to democrat",Slightly liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,171,0,5 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",.s:  Skipped on Web,.s:  Skipped on Web,Ballot a
2024,172,0,4 years of college,Bachelor's,"Independent (neither, no response)","Moderate, middle of the road",FAVOR,NO,Ballot c
2024,173,1,4th grade,Less than high school,"Independent, close to democrat",.d:  Do not Know/Cannot Choose,FAVOR,NO,Ballot a
2024,174,0,12th grade,High school,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,175,3,2 years of college,Associate/junior college,"Independent, close to democrat",Conservative,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,176,0,12th grade,High school,"Independent, close to republican",Conservative,FAVOR,YES,Ballot a
2024,177,2,12th grade,High school,Strong democrat,Liberal,.i:  Inapplicable,.i:  Inapplicable,Ballot b
2024,178,3,12th grade,High school,Strong republican,Extremely conservative,FAVOR,YES,Ballot c
