Variable,Description
age,Subject age at baseline
anysub,"Use of any substance post-detox (no, yes)"
cesd,"Center for Epidemiologic Studies Depression measure at baseline
(high scores indicate more depressive symptoms)"
d1,"Lifetime number of hospitalizations for medical problems
(measured at baseline)"
daysanysub,Time (in days) to first use of any substance post-detox
dayslink,Time (in days) to linkage to primary care
drugrisk,Risk Assessment Battery drug risk scale at baseline
e2b,"Number of times in past 6 months entered a detox program
(measured at baseline)"
female,"Biological sex (0 = male, 1 = female)"
sex,"Biological sex (male, female)"
g1b,"Experienced serious thoughts of suicide in last 30 days
(measured at baseline; no, yes)"
homeless,"Housing status (housed, homeless)"
i1,"Average number of drinks consumed per day in past 30 days
(measured at baseline)"
i2,"Maximum number of drinks consumed per day in past 30 days
(measured at baseline)"
id,Subject identifier
indtot,"Inventory of Drug Use Consequences (InDUC) total score
(measured at baseline)"
linkstatus,"Post-detox linkage to primary care (0 = no, 1 = yes)"
link,"Post-detox linkage to primary care (no, yes)"
mcs,"SF-36 Mental Component Score (measured at baseline;
lower scores indicate worse status)"
pcs,"SF-36 Physical Component Score (measured at baseline;
lower scores indicate worse status)"
pss_fr,"Perceived social support by friends (measured at baseline;
higher scores indicate more support)"
racegrp,"Race/Ethnicity (black, hispanic, white, other)"
satreat,"Any BSAS substance abuse treatment at baseline (no, yes)"
sexrisk,"Risk Assessment battery; sex risk score (measured at baseline;
high scores indicates higher risk)"
substance,"Primary substance of abuse (alcohol, cocaine, heroin)"
treat,"Randomized to HELP clinic (no, yes)"
