id,tvinat,tvnaat,tvhardat,tvedat,tvsoftat,tvcrat,tvcomat,educ,age,marit,sex
1,0,0,0,0,0,0,0,15,22,1,1
2,0,0,0,0,0,0,0,19,26,1,1
3,7,9,6,6,6,8,9,18,34,2,1
4,7,7,2,1,1,8,1,18,56,2,0
5,8,9,5,5,3,9,6,19,24,1,0
6,1,2,3,3,8,2,8,12,37,2,0
7,5,5,7,9,10,1,9,14,70,2,0
8,10,10,7,6,9,10,1,12,71,2,0
9,7,8,4,3,3,5,6,16,22,1,1
10,8,8,3,1,1,8,1,15,46,3,1
11,8,8,1,1,1,10,4,14,21,1,1
12,0,0,0,0,0,0,0,20,42,2,0
13,8,8,6,6,5,2,8,18,25,1,1
14,7,8,3,2,3,5,5,19,24,1,1
15,1,3,5,5,3,3,1,12,48,3,0
16,0,0,0,0,0,0,0,15,32,2,1
17,0,0,0,0,0,0,0,18,51,2,1
18,0,0,0,0,0,0,0,18,24,1,1
19,0,0,0,0,0,0,0,16,22,1,0
20,3,3,1,3,1,1,1,17,69,2,1
21,5,8,1,1,1,5,7,14,20,1,1
22,8,3, , , ,8,4,22,51,2,0
23,9,9,8,8,7,1,1,18,68,3,0
24,0,0,0,0,0,0,0,13,20,1,0
25,0,0,0,0,0,0,0,16,27,1,0
26,8,9,5,8,5,10,10,16,25,2,0
27,8,8,4,2,1,8,4,12,48,2,1
28,9,6,6,5,7,1,9,15,25,2,0
29,8,7,4,7,4,6,8,16,30,2,0
30,10,8,6,6,2,7,10,16,35,3,1
31,8,6,8,4,3,5,6,16,34,2,0
32,7,7,1,1,1,7,7,16,37,1,0
33,1,1,1,1,1,1,1,7,70,2,1
34,2,2,8,8,8,2,2,13,30,3,0
35,2,2,3,5,2,2,8,12,52,2,1
36,1,4,7,5,8,9,7,14,20,1,0
37,8,8,8,8,6,4,3,13,50,2,1
38,5,3,3,3,3,5,7,16,25,1,0
39,0,0,0,0,0,0,0,14,22,1,1
40,7,7,7,99,99,1,8,12,66,3,0
41,8,8,3,3,2,9,7,16,22,1,0
42,5,9,6,5,5,8,10,17,71,2,1
43,10,10,5,5,3,1,1,23,79,2,1
44,5,5,8,8,8,3,3,12,81,2,0
45,8,8,1,9,1,8,9,12,69,2,0
46,3,3,5,5,3,8,9,14,20,1,0
47,5,1,1,1,1,99,1,8,69,2,1
48,1,10,10,10,10,99,99,9,52,3,0
49,7,8,2,2,3,8,7,13,19,1,1
50,0,0,0,0,0,0,0,12,64,2,1
51,8,8,8,8,10,10,9,11,26,1,1
52,6,4,6,4,2,6,1,12,54,1,1
53,8,6,6,8,9,7,3,16,52,2,0
54,5,3,3,1,2,5,1,18,29,2,0
55,9,10,8,99,99,10,8,19,32,2,0
56,99,99,99,99,99,7,5,12,60,2,1
57,3,5,5,5,7,5,3,16,38,2,1
