Variable,Description
month,month (coded as a number)
day,day of the month on which bill was calculated
year,year of bill
temp,average temperature (degrees Celsius) for billing period
kwh,electricity usage (kwh)
ccf,gas usage (ccf)
thermsPerDay,a numeric vector
billingDays,number of billing days in billing period
totalbill,total monthly bill (in dollars)
gasbill,monthly gas bill (in dollars)
elecbill,monthly electric bill (in dollars)
notes,notes about the billing period
donate,"(yes or no) did the person add money to their bill to be donated to Operation Fuel, a charity providing heat to families/small business in need"
