country,days_since_outbreak,household_contacts,total_contacts,times_left_home,handwashes,masks_outside,majority_life_impacted
Australia,85,2,8.2,1,11.5,23.9,0
Australia,115,2.3,8,1.1,10.3,24.1,0
Australia,146,2.5,14.3,1.3,9.6,22.2,0
Australia,176,2.4,13,1.4,10.5,24.9,0
Australia,207,2.5,14.4,1.3,10.2,49.5,1
Australia,238,2.1,15.5,1.4,9.6,48.1,1
Australia,268,2.2,17.7,1.4,10,43.2,0
Australia,299,3.2,19.9,1.5,9,45.2,0
Australia,329,2.3,19.5,1.4,10.3,41.7,0
Australia,360,2.2,20.5,1.4,10.8,53.7,0
Australia,391,2.1,24.2,1.6,10.5,50.7,0
Australia,419,2.5,24.2,1.6,9.3,39.6,0
Australia,450,2.9,26.2,1.6,9.3,38.3,0
Australia,480,2.5,29.1,1.6,10.3,36.3,0
Brazil,85,2.7,6.9,1.1,14.9,56.3,0
Brazil,115,3.3,5.5,1.1,14.1,93.7,0
Brazil,146,3.3,9.5,1.6,17.8,97.2,1
Brazil,176,3.7,7.5,2,17,96.5,1
Brazil,207,3.6,9,1.9,19.2,96.4,1
Brazil,238,3.5,10.8,1.7,15.6,96.6,1
Canada,85,2.4,5.1,0.9,12.4,29.3,0
Canada,115,3.2,6.9,1.1,12.2,44.8,0
Canada,146,3,9.5,1.4,11.7,53.7,1
Canada,176,2.8,9.7,1.5,12.6,67.8,1
Canada,207,2.6,11.7,1.6,13.1,83.9,1
Canada,238,2.8,13,1.5,12.7,87.7,1
Canada,268,3.4,11.1,1.4,13.2,88.7,1
Canada,299,2.5,9.4,1.2,12.4,91.5,1
Canada,329,2.2,9,1.2,10.7,94.5,1
Canada,360,2.3,6.8,1.1,11.7,92.1,1
Canada,391,2.2,6.9,1.3,11.5,92.7,1
Canada,419,2.3,8.4,1.3,12.4,91.6,1
Canada,450,2.2,8.7,1.3,12.7,90.9,1
Canada,480,2.4,9.5,1.4,12.7,90.8,1
China,85,2.8,12.2,1.6,4.8,91.3,0
China,115,3.1,13.9,1.9,4.5,89.3,0
China,146,2.9,18.5,2.2,4.2,86,1
China,176,3.3,17.6,2,4.1,85.3,1
China,207,2.8,16.8,2,4.4,84.6,1
China,238,2.7,18.6,2.2,4,80.2,1
Denmark,85,2.1,8.9,1.8,17,5.4,0
Denmark,115,2.1,11,2,16.3,6.5,0
Denmark,146,1.9,20,2.2,15.3,4.3,0
Denmark,176,2.7,20.1,2.3,14.3,4.2,0
Denmark,207,2.9,23.3,2.2,16.3,9.7,0
Denmark,238,1.9,21.1,2,15.2,22,0
Denmark,268,2.1,14.5,2,14.9,33.7,0
Denmark,299,2.3,12.9,1.9,14,82.4,0
Denmark,329,2,10.8,1.7,15.5,83.9,0
Denmark,360,1.8,7.9,1.7,14.7,79.8,0
Denmark,391,2,6.4,1.5,14.6,79.8,0
Denmark,419,1.9,9.5,1.9,15.2,80,0
Denmark,450,2.1,9.6,1.9,13.1,79.1,0
Denmark,480,4,17.6,2.3,14.7,79.6,0
Finland,85,1.7,15.9,1.5,11,7.9,0
Finland,115,2.1,22.7,1.8,10.8,8.1,0
Finland,146,3.1,26.6,2,11.9,6.8,0
Finland,176,2,26.7,2,10.2,4.8,0
Finland,207,3.5,33,2,11.6,10.7,0
Finland,238,2.3,31.3,1.8,11.9,17.4,0
Finland,268,2.4,26.8,1.8,10.5,41.7,0
Finland,299,2.8,27.4,1.8,9.8,55.4,0
Finland,329,2.2,21.6,1.6,9.7,78.6,1
Finland,360,2.1,15.8,1.5,9.3,77.1,1
France,85,2.2,8.7,0.7,11.4,39.5,0
France,115,2.4,11.6,1,11.5,66.7,0
France,146,3.3,20.2,1.6,11.8,80.5,0
France,176,3.4,21.2,1.6,10.6,84.9,0
France,207,4.7,21.2,1.7,10.8,91.5,0
France,238,2.7,21.6,1.9,12.2,92.8,0
France,268,3,17.1,1.5,10.8,94.3,0
France,299,3.1,10.9,1.1,10.4,95.6,0
France,329,2.4,13.2,1.4,10.5,95.4,0
France,360,3.2,14.1,1.4,9.6,94.8,0
France,391,2.6,16.5,1.5,10.1,95,0
France,419,2.6,15,1.5,9.4,93.4,0
France,450,3.1,9,1.3,8.8,93.8,0
France,480,2.2,16.1,1.7,10.4,93.9,0
Germany,85,1.9,7.7,1.7,11.6,28.6,0
Germany,115,1.8,7.5,2,10.9,80.6,0
Germany,146,2.8,8.6,2.1,10.1,82.7,0
Germany,176,2.1,12.3,2.7,9.3,83.9,0
Germany,207,3.1,11.6,2.4,9.1,83.6,0
Germany,238,3,12,2.6,9.7,83.3,0
Germany,268,2.7,17.8,1.9,9.7,86.3,0
Germany,299,1.9,10.6,1.7,9.7,86.2,0
Germany,329,2.1,9.2,1.4,9.3,90,0
Germany,360,2.1,7.1,1.4,8.6,87.7,1
Germany,391,1.7,8.1,1.5,8.2,87.8,0
Germany,419,2.6,8.1,1.6,9.1,87,0
Germany,450,1.8,5,1.7,9.4,85.6,1
Germany,480,1.5,8.6,1.8,8.5,85.1,1
Hong Kong,85,2.7,24.6,1.5,7.7,92,0
Hong Kong,115,2.7,23.6,1.6,8.1,91.4,0
Hong Kong,146,3.9,24.8,1.8,6.6,92.4,0
Hong Kong,176,3.8,23.4,1.7,8.2,97.1,1
Hong Kong,207,2.7,23.6,1.5,8.6,96.3,1
Hong Kong,238,2.9,26.5,1.7,8.3,95.5,
India,85,4.9,4.7,1.5,10.8,88.3,0
India,115,4.6,4.6,2,10.7,88.3,0
India,146,4,4.5,1.8,8.5,92.1,1
India,176,4.4,6.1,2,10.4,94.4,1
India,207,5.8,7.9,2.1,11.3,94.4,1
India,238,4.1,8.1,2.1,11.2,92.8,1
Indonesia,85,3.9,6.7,2,10.3,86.9,0
Indonesia,115,4.3,7,2.3,9.7,91.9,
Indonesia,146,3.7,10.7,2.5,10.9,94.4,1
Indonesia,176,4.3,8.8,2.5,10.6,92.5,
Indonesia,207,3.8,10.4,2.7,11.2,95.6,1
Indonesia,238,4.1,8.8,2.6,9.1,95.2,1
Italy,85,2.4,4.1,0.7,13.4,89.7,0
Italy,115,2.6,5.7,1.2,14.7,94.8,0
Italy,146,3,10.7,1.9,13.1,94.7,1
Italy,176,3.2,17.5,2.3,14,92.4,1
Italy,207,4.5,19.3,2.3,14,93.1,1
Italy,238,3.3,18,2.1,12.3,93.8,1
Italy,268,3.4,14.7,2,14.1,97.1,1
Italy,299,2.4,9.5,1.5,14.7,97.6,1
Italy,329,3.6,8.4,1.7,13.7,97,1
Italy,360,2.6,9.1,1.5,12.9,97.8,1
Italy,391,2.9,10.8,1.7,12.1,97.7,1
Italy,419,2.5,5.8,1.7,11.6,97.5,1
Italy,450,2.5,7.4,1.6,11.3,97.3,1
Italy,480,3.7,13.5,2.1,14.9,97.2,1
Japan,85,2.7,17.5,1.4,5.9,74.7,0
Japan,115,2.2,11.3,1.6,6.2,86,0
Japan,146,2.3,16.1,1.5,5.8,86.1,1
Japan,176,2.6,13.3,1.5,5.8,88.2,1
Japan,207,2.5,15.9,1.7,6,89.4,1
Japan,238,2.4,13.4,1.6,5.9,89.1,1
Japan,268,3.1,14.4,1.7,5.7,90.3,0
