country,days_since_outbreak,household_contacts,total_contacts,handwashes,masks_outside
Brazil,85,2.7,6.9,14.9,56.3
Brazil,115,3.3,5.5,14.1,93.7
Brazil,146,3.3,9.5,17.8,97.2
Brazil,176,3.7,7.5,17,96.5
Brazil,207,3.6,9,19.2,96.4
Brazil,238,3.5,10.8,15.6,96.6
Canada,85,2.4,5.1,12.4,29.3
Canada,115,3.2,6.9,12.2,44.8
Canada,146,3,9.5,11.7,53.7
Canada,176,2.8,9.7,12.6,67.8
Canada,207,2.6,11.7,13.1,83.9
Canada,238,2.8,13,12.7,87.7
Canada,268,3.4,11.1,13.2,88.7
Canada,299,2.5,9.4,12.4,91.5
Canada,329,2.2,9,10.7,94.5
Canada,360,2.3,6.8,11.7,92.1
Canada,391,2.2,6.9,11.5,92.7
Canada,419,2.3,8.4,12.4,91.6
Canada,450,2.2,8.7,12.7,90.9
Canada,480,2.4,9.5,12.7,90.8
China,85,2.8,12.2,4.8,91.3
China,115,3.1,13.9,4.5,89.3
China,146,2.9,18.5,4.2,86
China,176,3.3,17.6,4.1,85.3
China,207,2.8,16.8,4.4,84.6
China,238,2.7,18.6,4,80.2
Denmark,85,2.1,8.9,17,5.4
Denmark,115,2.1,11,16.3,6.5
Denmark,146,1.9,20,15.3,4.3
Denmark,176,2.7,20.1,14.3,4.2
Denmark,207,2.9,23.3,16.3,9.7
Denmark,238,1.9,21.1,15.2,22
Denmark,268,2.1,14.5,14.9,33.7
Denmark,299,2.3,12.9,14,82.4
Denmark,329,2,10.8,15.5,83.9
Denmark,360,1.8,7.9,14.7,79.8
Denmark,391,2,6.4,14.6,79.8
Denmark,419,1.9,9.5,15.2,80
Denmark,450,2.1,9.6,13.1,79.1
Denmark,480,4,17.6,14.7,79.6
France,85,2.2,8.7,11.4,39.5
France,115,2.4,11.6,11.5,66.7
France,146,3.3,20.2,11.8,80.5
France,176,3.4,21.2,10.6,84.9
France,207,4.7,21.2,10.8,91.5
France,238,2.7,21.6,12.2,92.8
France,268,3,17.1,10.8,94.3
France,299,3.1,10.9,10.4,95.6
France,329,2.4,13.2,10.5,95.4
France,360,3.2,14.1,9.6,94.8
France,391,2.6,16.5,10.1,95
France,419,2.6,15,9.4,93.4
France,450,3.1,9,8.8,93.8
France,480,2.2,16.1,10.4,93.9
Germany,85,1.9,7.7,11.6,28.6
Germany,115,1.8,7.5,10.9,80.6
Germany,146,2.8,8.6,10.1,82.7
Germany,176,2.1,12.3,9.3,83.9
Germany,207,3.1,11.6,9.1,83.6
Germany,238,3,12,9.7,83.3
Germany,268,2.7,17.8,9.7,86.3
Germany,299,1.9,10.6,9.7,86.2
Germany,329,2.1,9.2,9.3,90
Germany,360,2.1,7.1,8.6,87.7
Germany,391,1.7,8.1,8.2,87.8
Germany,419,2.6,8.1,9.1,87
Germany,450,1.8,5,9.4,85.6
Germany,480,1.5,8.6,8.5,85.1
India,85,4.9,4.7,10.8,88.3
India,115,4.6,4.6,10.7,88.3
India,146,4,4.5,8.5,92.1
India,176,4.4,6.1,10.4,94.4
India,207,5.8,7.9,11.3,94.4
India,238,4.1,8.1,11.2,92.8
Italy,85,2.4,4.1,13.4,89.7
Italy,115,2.6,5.7,14.7,94.8
Italy,146,3,10.7,13.1,94.7
Italy,176,3.2,17.5,14,92.4
Italy,207,4.5,19.3,14,93.1
Italy,238,3.3,18,12.3,93.8
Italy,268,3.4,14.7,14.1,97.1
Italy,299,2.4,9.5,14.7,97.6
Italy,329,3.6,8.4,13.7,97
Italy,360,2.6,9.1,12.9,97.8
Italy,391,2.9,10.8,12.1,97.7
Italy,419,2.5,5.8,11.6,97.5
Italy,450,2.5,7.4,11.3,97.3
Italy,480,3.7,13.5,14.9,97.2
Japan,85,2.7,17.5,5.9,74.7
Japan,115,2.2,11.3,6.2,86
Japan,146,2.3,16.1,5.8,86.1
Japan,176,2.6,13.3,5.8,88.2
Japan,207,2.5,15.9,6,89.4
Japan,238,2.4,13.4,5.9,89.1
Japan,268,3.1,14.4,5.7,90.3
Japan,299,1.9,11.9,5.4,89
Japan,329,6,16.4,8.4,90
Japan,360,2.7,9.4,5.9,91.1
Japan,391,2.3,10.7,6.1,93.5
Japan,419,2,14.3,7,92.4
Japan,450,2.6,12.6,5.6,88.9
Japan,480,2.6,11.4,5.7,92.9
Mexico,85,3.1,7.6,12.1,70.9
Mexico,115,3.2,8.3,13.1,92.2
Mexico,146,4.6,8.5,11.8,93.7
Mexico,176,4.4,8.7,11.6,94.9
Mexico,207,5.1,9.3,12.5,95.6
Mexico,238,4,11.5,12.5,95.8
Singapore,85,3.1,14.9,9.6,66.1
Singapore,115,2.8,7.8,8.8,96
Singapore,146,2.8,11.4,8.4,97
Singapore,176,3.3,19.2,8.8,98
Singapore,207,3,20.9,7.6,97.5
Singapore,238,3,21.3,8.3,97.5
Singapore,268,3,22.3,7.7,97.7
Singapore,299,2.9,22.7,9.2,98.1
Singapore,329,3.1,30.7,8.3,97.4
Singapore,360,3.2,27.7,7.6,98.1
Singapore,391,3.4,23.5,7.3,97.6
Singapore,419,3.2,26.6,7.9,97.7
Singapore,450,3.2,26.3,7.7,97.7
Singapore,480,3.3,23.8,8.7,97.9
South Korea,85,2.7,12.7,7.8,92.4
South Korea,115,5.1,15.5,8.4,91
South Korea,146,4.5,13.3,6.8,89.7
South Korea,176,4.1,14.2,7.9,93
South Korea,207,5.1,17,7.2,94.2
South Korea,238,3,12.4,7.7,94.2
South Korea,268,3.4,11,8.2,94.4
South Korea,299,3,10.8,8.5,93.4
South Korea,329,2.6,10.1,7.4,95.4
South Korea,360,3.7,9.6,8,93.6
South Korea,391,4.7,8,7.7,96.1
South Korea,419,4.3,11,6.8,96.3
South Korea,450,4.4,12,7,95.5
South Korea,480,2.7,12,5.6,96.1
Spain,85,3.1,6.1,10,67.5
Spain,115,2.2,5.7,10.3,84.9
Spain,146,3.1,10.5,11,93.6
Spain,176,3.2,12.8,12,97.2
Spain,207,3.6,15.9,10.4,97.2
Spain,238,3,12.7,11.5,97.9
Spain,268,3,12.1,11,98.1
Spain,299,3.1,12.5,14.9,98
Spain,329,2.2,10.5,11.1,98.2
Spain,360,2.4,10,10.2,97.9
Spain,391,2.5,10.4,10,97.9
Spain,419,2.5,11.1,10.2,97.7
Spain,450,2.8,10.7,9,97.3
Spain,480,2.4,13.2,9.2,96.8
United States,85,2.8,8.2,12.7,44
United States,115,2.5,9.9,10.4,72.8
United States,146,2.9,14.9,9.4,73.9
United States,176,4.1,14.6,10.9,79.3
United States,207,3.5,15,10.6,84.4
United States,238,3.3,15.3,10,83.6
United States,391,3.2,18.8,9.1,83.7
United States,419,2.4,16.2,11.5,80.7
United States,450,3.4,19.2,8.9,80.3
United States,480,2.8,21,9.3,78.1
