county,state,asians,blacks,hispanics,whites,homeowner,households,housing_units,per_capita_income,foreign_born,pop_2020,pop_2010
Ada County,ID,2.7,1.4,8.5,84.3,69.3,173353,192630,34919,5.8,494967,392365
Adams County,CO,4.5,4,40.8,49,66.2,166450,178519,30313,15.3,519572,441603
Adams County,ID,0.9,0.4,3.6,91.6,80.3,1757,2705,28026,1.2,4379,3976
Adams County,WA,1.4,2.2,64.7,32.5,63.1,5973,6722,20248,24.5,20613,18728
Alameda County,CA,32.3,11,22.3,30.6,53.5,577177,622922,47314,32.5,1682353,1510271
Alamosa County,CO,1.7,1.8,47.6,47.1,57.8,6162,7160,22131,9.1,16376,15445
Albany County,WY,3.9,2,9.7,81.9,51,15944,19540,29146,7.3,37066,36299
Aleutians East Borough,AK,43.4,10.2,14.8,9.1,63.8,890,755,33939,27.1,3420,3141
Aleutians West Census Area,AK,40.1,7.1,14,23.6,28.2,1187,1966,39647,41.6,5232,5561
Alpine County,CA,1.6,0.4,12.3,61.3,84,350,1782,36739,5.1,1204,1175
Amador County,CA,1.7,2.7,14.5,77.3,76.5,14594,18625,31987,6,40474,38091
Anchorage Municipality,AK,10,6,9.4,57.1,61.3,106567,119276,41415,10.9,291247,291826
Apache County,AZ,0.5,0.6,6.6,18,78.9,20867,33023,15128,1.4,66021,71518
Arapahoe County,CO,6.6,11.5,19.8,59.4,63.5,240304,257325,40443,15.1,655070,572003
Archuleta County,CO,1.2,0.7,18.4,76.8,72.2,5858,9685,31629,5,13359,12084
Asotin County,WA,1,0.8,4.4,89.8,70.7,9101,10125,29695,2.9,22285,21623
Baca County,CO,0.4,1.1,11.3,83.9,71,1662,2259,24061,3.2,3506,3788
Baker County,OR,0.9,0.7,4.7,89.7,70.7,6921,9096,28700,2,16668,16134
Bannock County,ID,1.6,1.1,8.9,83.4,67.5,31155,34852,25076,4.1,87018,82839
Bear Lake County,ID,0.5,0.4,4.3,93.1,76.6,2424,4204,26378,3.1,6372,5986
