Duration..in.seconds.,Q1,Q2,Q33_First.Click,Q33_Last.Click,Q33_Page.Submit,Q33_Click.Count,Q35_First.Click,Q35_Last.Click,Q35_Page.Submit,Q35_Click.Count,Q37_First.Click,Q37_Last.Click,Q37_Page.Submit,Q37_Click.Count,Q39_First.Click,Q39_Last.Click,Q39_Page.Submit,Q39_Click.Count,Q41_First.Click,Q41_Last.Click,Q41_Page.Submit,Q41_Click.Count,Q43_First.Click,Q43_Last.Click,Q43_Page.Submit,Q43_Click.Count,Q45_First.Click,Q45_Last.Click,Q45_Page.Submit,Q45_Click.Count,Q47_First.Click,Q47_Last.Click,Q47_Page.Submit,Q47_Click.Count,Q49_First.Click,Q49_Last.Click,Q49_Page.Submit,Q49_Click.Count,Q51_First.Click,Q51_Last.Click,Q51_Page.Submit,Q51_Click.Count,Q53_First.Click,Q53_Last.Click,Q53_Page.Submit,Q53_Click.Count,Q55_First.Click,Q55_Last.Click,Q55_Page.Submit,Q55_Click.Count,Q57_First.Click,Q57_Last.Click,Q57_Page.Submit,Q57_Click.Count,Q59_First.Click,Q59_Last.Click,Q59_Page.Submit,Q59_Click.Count,Q61_First.Click,Q61_Last.Click,Q61_Page.Submit,Q61_Click.Count,Q63_First.Click,Q63_Last.Click,Q63_Page.Submit,Q63_Click.Count,Q65_First.Click,Q65_Last.Click,Q65_Page.Submit,Q65_Click.Count,Q67_First.Click,Q67_Last.Click,Q67_Page.Submit,Q67_Click.Count,Q69_First.Click,Q69_Last.Click,Q69_Page.Submit,Q69_Click.Count,Q71_First.Click,Q71_Last.Click,Q71_Page.Submit,Q71_Click.Count,Q73_First.Click,Q73_Last.Click,Q73_Page.Submit,Q73_Click.Count,Q75_First.Click,Q75_Last.Click,Q75_Page.Submit,Q75_Click.Count,Q77_First.Click,Q77_Last.Click,Q77_Page.Submit,Q77_Click.Count,Q79_First.Click,Q79_Last.Click,Q79_Page.Submit,Q79_Click.Count,Q88_1,Q88_2,Q88_3,Q86_1,Q86_2,Q86_3,Q86_4,Q86_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,issue,gwhumor,aihumor,mhumor,Q86_1c,Q86_2c,Q86_3c,Q86_4c,Q86_7c
677,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.155,1.155,29.288,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,4,4,4,4,1,5,3,1,1,1,1,4,1,1,2,3,Artificial intelligence,NA,combined: a+s,NA,1,4,4,4,4
467,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.039,1.039,11.027,1,5,4,4,4,4,4,4,4,2,3,4,3,4,3,4,4,3,5,4,5,Microbiomes,NA,NA,no humor,4,4,4,4,4
1015,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.771,5.117,13.821,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,1,4,5,5,4,4,4,5,3,5,3,5,6,Artificial intelligence,NA,satire,NA,2,2,2,1,1
609,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.174,14.174,15.741,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,4,4,Artificial intelligence,NA,no humor,NA,5,5,5,5,5
563,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11.319,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,3,4,4,4,4,3,5,5,3,5,3,5,6,5,4,2,Microbiomes,NA,NA,anthropomorphism,3,3,4,4,4
530,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,18.43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,4,4,4,4,4,1,1,1,1,1,1,1,3,3,3,3,3,Global warming,satire,NA,NA,4,4,4,4,4
529,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.995,11.066,14.387,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,7,7,1,7,7,7,7,7,7,7,7,7,7,6,7,7,7,Global warming,wordplay,NA,NA,7,7,1,7,7
638,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21.149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,4,6,4,4,4,3,4,3,5,5,3,7,4,4,5,5,Artificial intelligence,NA,combined: a+s,NA,3,4,6,4,4
655,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,26.341,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,6,6,7,7,7,4,7,7,7,4,7,5,6,7,4,7,7,Microbiomes,NA,NA,combined: a+w,6,6,7,7,7
844,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,15.131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,1,1,1,1,5,3,5,4,7,5,5,7,3,5,5,6,Global warming,no humor,NA,NA,4,1,1,1,1
