Status,Progress,Duration..in.seconds.,Finished,RecordedDate,TV,Geslacht,Geslacht_4_TEXT,Leeftijd,Opleiding,Opleiding_11_TEXT,Nationaliteit,Nationaliteit_2_TEXT,Moedertaal,Moedertaal_2_TEXT,Sound_check,timerfiller_First.Click,timerfiller_Last.Click,timerfiller_Page.Submit,timerfiller_Click.Count,timermisinfo_First.Click,timermisinfo_Last.Click,timermisinfo_Page.Submit,timermisinfo_Click.Count,Attentioncheck1,misinfofamiliarity1_1,misinfofamiliarity2_1,timergeencorrectie_First.Click,timergeencorrectie_Last.Click,timergeencorrectie_Page.Submit,timergeencorrectie_Click.Count,timerregular_First.Click,timerregular_Last.Click,timerregular_Page.Submit,timerregular_Click.Count,timersatire_First.Click,timersatire_Last.Click,timersatire_Page.Submit,timersatire_Click.Count,Attentioncheck4,characteristics_1,characteristics_2,characteristics_3,characteristics_4,characteristics_5,characteristics_6,characteristics_7,correctiefam1_1,correctiefam2_1,discountingsatire_1,discountingsatire_2,discountingsatire_3,discountingregfiller_1,discountingregfiller_2,discountingregfiller_3,Veracity_1,mispercepties_1,mispercepties_2,mispercepties_3,mispercepties_4,attnatu_1,attnatu_2,attnatu_3,atthormo_1,atthormo_2,atthormo_3,involvement_1,involvement_2,involvement_3,sourcelikingGC_1,sourcelikingGC_2,sourcelikingGC_3,sourcelikingREG_1,sourcelikingREG_2,sourcelikingREG_3,sourcelikingSAT_1,sourcelikingSAT_2,sourcelikingSAT_3,vertrouwen_1,vertrouwen_2,vertrouwen_3,vertrouwen_4,vertrouwen_5,TikTokgebruik,gezondheidTT1_1,gezondheidTT2_1,gezondheidTT3_1,Religie_1,ACgebruik_1,ACgebruik_2,ACgebruik_3,ACgebruik_4,ACgebruik_5,ACgebruik_6,ACgebruik_7,ACgebruik_8,ACgebruik_9,ACgebruik_10,ACgebruik_11,ACgebruik_12,ACgebruik_13,ACgebruik_14,ACgebruik_15,ACgebruik_16,ACgebruik_17,ACgebruik_18,ACgebruik_19,ACgebruik_18_TEXT,Relatie,Relatie_4_TEXT,Zwanger,Conditie
0,100,7,1,6/26/24 3:45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,857,1,6/26/24 4:03,1,1,,18,7,,1,,1,,7,82.275,218.392,219.723,9,,,,,rttg,3,4,359.674,359.674,364.795,1,,,,,,,,,dfdsfsf,4,3,6,4,5,5,3,6,6,,,,5,4,5,4,5,4,5,5,5,5,6,7,7,7,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,control
0,100,337,1,6/26/24 4:12,1,1,,22,1,,2,asdsad,2,asa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,700,1,6/26/24 4:31,1,1,,22,4,,1,,1,,7,,,,,0,0,196.611,0,sadasd,2,7,64.856,348.566,363.459,2,,,,,,,,,cooking,5,5,5,5,5,5,5,5,3,,,,5,4,4,6,5,6,5,5,4,3,5,6,6,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,misinfo
0,100,1287,1,6/26/24 5:28,1,1,,33,5,,1,,1,,7,,,,,42.587,42.587,182.061,1,иуьеь,4,3,,,,,,,,,284.574,284.574,864.825,1,gg,7,6,6,7,6,6,6,5,5,4,6,2,,,,6,4,4,3,4,6,5,4,2,4,1,5,5,6,,,,,,,3,4,5,3,4,5,2,3,5,5,6,7,7,,,,1,,,,,,,,,,,,,,,,,2,,1,satire
1,100,6,1,6/27/24 3:21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,1605,1,6/27/24 4:14,1,1,,22,6,,1,,1,,7,0,0,1087.996,0,,,,,efs,4,5,0,0,364.225,0,,,,,,,,,etsr,5,6,5,6,5,6,6,7,7,,,,4,4,4,7,4,3,4,5,5,5,4,1,2,3,5,5,4,3,4,5,,,,,,,3,4,3,3,3,4,4,6,6,6,,,,,1,,,,,,,,,,,,,,,,3,,2,control
0,100,23,1,6/28/24 2:30,1,1,,37,7,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,19,1,6/28/24 2:30,1,2,,25,9,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,100,19,1,6/28/24 2:31,1,2,,34,6,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
