StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CONS,SC1,SC2,D1,D2,D3,D4,D5,D6,D7_1,D7_2,D7_3,D7_4,D7_5,D7_9,D8,D9,D10,Q1,Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q5_Q5_6,Q5_Q5_7,Q5_Q5_7_TEXT,Q6_Q6_1,Q6_Q6_2,Q6_Q6_3,Q6_Q6_4,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q7_Q7_5,Q7_Q7_6,Q8_Q8_1,Q8_Q8_2,Q8_Q8_3,Q8_Q8_4,Q8_Q8_5,Q8_Q8_7,Q8_Q8_9,Q9_Q9_1,Q9_Q9_2,Q9_Q9_3,Q9_Q9_4,Q9_Q9_5,Q9_Q9_6,Q10_Q10_1,Q10_Q10_2,Q10_Q10_3,Q10_Q10_4,Q10_Q10_5,Q10_Q10_6,Q10_Q10_7,Q10_Q10_8,Q10_Q10_9,Q10_Q10_10,Q11_Q11_1,Q11_Q11_2,Q11_Q11_3,Q11_Q11_4,Q11_Q11_5,Q11_Q11_6,Q12_Q12_1,Q12_Q12_2,Q12_Q12_3,Q12_Q12_4,Q12_Q12_5,Q12_Q12_6,Q12_Q12_7,Q13_Q13_1,Q13_Q13_2,Q13_Q13_3,Q13_Q13_4,Q13_Q13_5,Q13_Q13_6,Q13_Q13_7,Q13_alt_Q13_alt_1,Q13_alt_Q13_alt_2,Q13_alt_Q13_alt_3,Q13_alt_Q13_alt_4,Q13_alt_Q13_alt_5,Q13_alt_Q13_alt_6,Q13_alt_Q13_alt_7,Q14_Q14_1,Q14_Q14_2,Q14_Q14_3,Q14_Q14_4,Q15_Q15_1,Q15_Q15_2,Q15_Q15_3,Q15_Q15_4,Q15_Q15_5,Q15_Q15_6,Q15_Q15_7,Q16_Q16_1,Q16_Q16_2,Q16_Q16_3,Q16_Q16_4,Q16_Q16_5,Q16_Q16_6,Q16_Q16_7,Q16_Q16_7_TEXT,STIM_1_COMM,STIM_1_TIME_First_Click,STIM_1_TIME_Last_Click,STIM_1_TIME_Page_Submit,STIM_1_TIME_Click_Count,STIM_2_COMM,STIM_2_TIME_First_Click,STIM_2_TIME_Last_Click,STIM_2_TIME_Page_Submit,STIM_2_TIME_Click_Count,STIM_3_COMM,STIM_3_TIME_First_Click,STIM_3_TIME_Last_Click,STIM_3_TIME_Page_Submit,STIM_3_TIME_Click_Count,STIM_4_COMM,STIM_4_TIME_First_Click,STIM_4_TIME_Last_Click,STIM_4_TIME_Page_Submit,STIM_4_TIME_Click_Count,STIM_5_COMM,STIM_5_TIME_First_Click,STIM_5_TIME_Last_Click,STIM_5_TIME_Page_Submit,STIM_5_TIME_Click_Count,STIM_6_COMM,STIM_6_TIME_First_Click,STIM_6_TIME_Last_Click,STIM_6_TIME_Page_Submit,STIM_6_TIME_Click_Count,STIM_7_COMM,STIM_7_TIME_First_Click,STIM_7_TIME_Last_Click,STIM_7_TIME_Page_Submit,STIM_7_TIME_Click_Count,STIM_8_COMM,STIM_8_TIME_First_Click,STIM_8_TIME_Last_Click,STIM_8_TIME_Page_Submit,STIM_8_TIME_Click_Count,Q17,Q18,Q19,Q20,Q21_Q21_1,Q21_Q21_2,Q21_Q21_3,Q21_Q21_4,Q21_Q21_5,Q21_Q21_6,Q21_Q21_7,Q21_Q21_8,Q21_Q21_9,Q21_Q21_10,Q21_Q21_11,Q22_Q22_1,Q22_Q22_2,Q22_Q22_3,Q22_Q22_4,Q22_Q22_5,Q22_Q22_6,Q22_Q22_7,Q22_Q22_8,Q23_Q23_1,Q23_Q23_2,Q23_Q23_3,Q23_Q23_4,Q23_Q23_5,Q23_Q23_6,Q23_Q23_7,Q23_Q23_8,Q24_Q24_1,Q24_Q24_2,Q24_Q24_3,Q24_Q24_4,Q24_Q24_5,Q24_Q24_6,Q24_Q24_7,Q24_Q24_8,Q25_Q25_1,Q25_Q25_2,Q25_Q25_3,Q25_Q25_4,Q25_Q25_5,Q25_Q25_6,Q25_Q25_7,Q25_Q25_8,Q25_Q25_9,Q25_Q25_10,Q26_Q26_1,Q26_Q26_2,Q26_Q26_3,Q26_Q26_4,Q26_Q26_5,Q26_Q26_6,Q26_Q26_7,opp,rid,RISN,gc,term,respondenttype,filter_$
2018-10-10T13:50:39Z,2018-10-10T13:57:35Z,0,38.89.143.32,100,416,1,2018-10-10T13:57:36Z,R_2Wv4JIIbkYTHF7f,,,,,40.7261962890625,-73.9795989990234375,anonymous,EN,1,1,1,7,7,7,2,4,1,1,-99,-99,-99,-99,-99,18,4,1,5,7,5,6,5,7,6,6,5,5,4,5,4,7,7,1,1,1,7,1,-99,5,5,6,4,6,5,6,6,6,4,5,6,5,6,6,6,5,6,6,5,5,5,6,5,5,5,5,5,6,6,6,5,6,5,5,4,4,5,4,6,6,6,5,4,5,6,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,1,7,5,5,7,5,6,5,4,7,6,6,7,7,1,1,1,7,1,-99,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,no,22.53,22.53,27.014,1,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,7,2,5,5,4,6,5,4,6,7,7,6,7,4,7,1,7,1,3,4,6,7,7,5,6,5,4,6,7,6,5,6,4,6,6,5,5,6,5,4,5,4,6,4,6,4,6,5,6,5,6,5,4,4,5,Qual1439-0913GPNational,5bbe5808-e7cc-4a70-a1d0-c99fbc705db3,3126766,1,,white,1
2018-10-10T13:52:34Z,2018-10-10T13:57:58Z,0,38.135.104.7,100,323,1,2018-10-10T13:57:58Z,R_dnHMSWFNNLqLL2x,,,,,41.2563018798828125,-89.2220001220703125,anonymous,EN,1,1,1,5,3,6,2,24,1,1,-99,-99,-99,-99,-99,12,NA,NA,4,5,6,5,4,5,6,5,6,5,6,5,5,6,6,5,5,5,7,1,-99,5,6,4,5,6,5,5,5,6,3,5,5,6,5,6,5,5,5,6,6,5,6,6,5,5,6,6,6,5,7,7,5,7,5,6,5,5,6,7,6,6,5,6,6,5,6,2,2,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,4,5,6,6,5,5,6,6,6,6,6,6,5,6,5,4,5,1,-99,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,nothing to say,18.616,18.616,25.949,1,,NA,NA,NA,NA,,NA,NA,NA,NA,3,6,3,5,6,6,3,4,5,3,4,3,6,4,3,6,6,5,5,6,5,5,5,5,4,6,5,6,6,6,6,5,5,6,5,6,5,4,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,5,6,Qual1439-0913GPNational,5bbe587d-e87e-464b-9359-3f6105a62ab1,3126766,1,,white,1
2018-10-10T13:50:51Z,2018-10-10T13:58:09Z,0,70.162.112.46,100,438,1,2018-10-10T13:58:10Z,R_sdRMW6gaiwvNGQV,,,,,33.6237945556640625,-112.00440216064453125,anonymous,EN,1,1,1,5,4,4,3,16,2,-99,-99,-99,-99,-99,1,4,NA,NA,2,4,5,5,4,3,4,4,4,5,4,5,3,3,7,7,1,5,7,-99,-99,4,4,5,5,7,6,5,3,3,3,4,4,4,7,7,7,7,3,3,3,3,3,7,7,7,1,7,4,1,7,1,7,7,7,7,4,5,7,3,1,1,5,3,7,4,2,2,9,1,9,1,9,1,NA,NA,NA,NA,NA,NA,NA,5,4,5,7,6,6,1,7,4,4,4,4,7,7,1,5,7,-99,-99,,NA,NA,NA,NA,-99,17.531,17.531,19.677,1,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,4,7,3,7,7,7,7,4,1,4,4,4,7,4,7,7,1,7,1,7,1,1,7,2,1,1,1,1,1,1,2,2,2,1,2,2,2,3,2,7,7,4,7,4,4,4,4,1,1,4,4,4,4,4,4,4,Qual1439-0913GPNational,5bbe5813-712f-4260-b565-fc17dff03cdc,3126766,1,,other,1
2018-10-10T13:53:43Z,2018-10-10T13:58:40Z,0,169.226.224.241,100,297,1,2018-10-10T13:58:41Z,R_3jclZdSECcBdEy3,,,,,42.685302734375,-73.8253021240234375,anonymous,EN,1,1,1,1,1,1,1,5,2,-99,-99,1,-99,-99,-99,18,5,1,7,1,1,1,1,2,1,2,4,4,3,2,1,1,3,1,3,4,1,6,-99,4,5,2,1,4,4,4,7,5,2,7,7,5,5,4,5,5,6,4,5,3,4,3,4,2,1,1,3,3,5,2,5,2,2,6,5,7,5,4,3,5,6,6,6,5,4,4,3,4,2,4,9,4,NA,NA,NA,NA,NA,NA,NA,2,5,3,4,1,4,7,2,3,6,1,1,3,3,1,1,4,1,-99,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,Cool,2.737,16.057,21.3,23,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,2,7,1,1,3,3,2,3,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,6,1,4,2,1,5,1,3,5,3,1,1,3,4,2,3,6,3,1,2,6,3,2,2,4,1,1,1,1,1,1,1,Qual1439-0913GPNational,5bbe58c2-fa60-4c09-bd89-18c0459fb646,3126766,1,,black,1
2018-10-10T13:50:55Z,2018-10-10T13:59:10Z,0,199.227.95.194,100,494,1,2018-10-10T13:59:10Z,R_1eWZlk01tijNHyi,,,,,32.393402099609375,-86.32219696044921875,anonymous,EN,1,1,1,7,7,5,1,6,2,-99,-99,1,-99,-99,-99,12,NA,NA,4,6,7,3,6,4,7,5,7,6,7,5,7,7,4,6,7,1,6,-99,0,7,6,3,6,7,5,6,6,4,6,7,6,7,7,6,6,7,7,6,7,7,6,6,7,6,5,7,4,6,6,7,7,7,6,2,5,7,7,7,2,6,3,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,7,7,7,6,6,4,7,7,7,7,6,3,7,6,3,6,6,1,-99,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,-99,0.604,20.514,24.781,11,,NA,NA,NA,NA,,NA,NA,NA,NA,3,5,3,6,6,5,5,4,5,6,6,5,7,4,4,2,5,7,7,4,5,7,7,6,6,7,6,7,5,7,7,7,7,7,5,6,7,7,7,6,6,6,5,6,5,1,7,3,7,4,1,7,7,4,3,6,Qual1439-0913GPNational,5bbe5813-597b-4006-a9d4-ddfe4b93aca0,3126766,1,,black,1
2018-10-10T13:52:27Z,2018-10-10T13:59:40Z,0,144.202.159.9,100,433,1,2018-10-10T13:59:41Z,R_3hmCuXoAUwSDUG7,,,,,39.0142059326171875,-76.6793975830078125,anonymous,EN,1,1,1,2,2,2,1,19,2,-99,-99,1,-99,-99,-99,17,3,2,5,4,4,6,6,5,6,5,6,5,6,6,5,7,1,6,1,1,6,1,-99,6,6,6,5,5,6,7,3,3,2,6,4,5,7,7,3,7,4,4,3,2,5,6,2,7,2,7,3,7,4,3,5,7,7,7,6,7,1,6,7,1,7,4,7,2,4,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,4,5,5,6,6,7,1,5,6,3,4,7,1,6,1,1,6,1,-99,,NA,NA,NA,NA,-99,0,0,17.973,0,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,1,2,3,7,7,7,7,1,6,7,7,3,4,7,7,1,1,1,4,1,1,1,2,3,4,5,4,1,3,3,1,4,1,3,1,5,3,3,7,6,6,7,6,6,7,7,1,1,5,3,5,3,5,5,5,Qual1439-0913GPNational,5bbe586d-54d9-4683-addb-b2c3602950bb,3126766,1,,black,1
2018-10-10T13:51:56Z,2018-10-10T13:59:57Z,0,66.87.209.220,100,481,1,2018-10-10T13:59:58Z,R_1Oj1mCVtbrY6ijq,,,,,36.1658935546875,-86.78440093994140625,anonymous,EN,1,1,1,5,1,1,1,20,1,1,-99,-99,-99,-99,-99,0,NA,NA,1,4,4,5,3,4,4,3,5,5,4,4,4,5,5,3,3,2,4,1,-99,3,5,5,4,4,2,3,5,4,4,4,6,4,5,5,7,4,3,5,5,4,5,4,4,4,3,4,5,6,4,5,3,4,4,5,4,5,3,3,3,4,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,5,6,5,5,3,5,4,3,5,4,4,4,5,6,5,5,4,1,-99,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,-99,1.071,1.071,2.229,1,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,7,99,7,4,4,4,3,5,5,3,5,4,5,5,6,4,4,5,5,5,6,3,5,5,4,6,3,4,5,5,4,4,4,4,6,5,3,5,4,4,5,2,5,6,5,5,4,4,1,5,5,4,4,3,3,Qual1439-0913GPNational,5bbe5855-cf7e-4b7a-b9c7-d855b6434802,3126766,1,,white,1
2018-10-10T13:51:02Z,2018-10-10T14:00:03Z,0,24.1.6.246,100,541,1,2018-10-10T14:00:03Z,R_3HOMuX02PQso7Od,,,,,42.3668060302734375,-88.08879852294921875,anonymous,EN,1,1,1,6,2,2,2,31,2,1,-99,-99,-99,-99,-99,12,NA,NA,2,2,5,5,4,4,5,1,2,5,5,6,5,6,4,7,4,4,7,6,-99,6,5,4,5,4,6,5,1,2,3,6,3,2,5,2,2,6,5,2,4,6,6,3,2,6,5,4,2,5,4,6,3,5,2,2,1,4,5,2,1,4,5,2,2,2,5,NA,NA,NA,NA,NA,NA,NA,9,2,1,1,2,1,9,4,3,5,5,4,1,1,3,1,4,1,7,4,7,1,4,7,5,-99,-99,0.812,17.6,21.756,12,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,1,3,3,5,5,3,5,6,6,1,6,1,1,2,6,1,4,1,1,5,4,4,5,3,6,3,1,4,1,2,2,2,1,1,2,4,1,2,2,5,5,2,3,1,3,3,2,5,3,6,3,2,1,3,5,5,Qual1439-0913GPNational,5bbe5816-0862-4222-b47b-64d8cf820af6,3126766,1,,white,1
2018-10-10T13:50:57Z,2018-10-10T14:00:10Z,0,216.237.234.206,100,552,1,2018-10-10T14:00:11Z,R_1IQ1a7QZrrFxtLK,,,,,35.9734039306640625,-80.0106964111328125,anonymous,EN,1,1,1,7,7,7,2,23,1,1,-99,-99,-99,-99,-99,1,NA,NA,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,6,6,7,-99,-99,6,6,7,7,7,6,7,6,7,7,6,7,7,6,7,7,7,6,7,7,7,7,6,6,7,6,6,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,6,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,7,6,7,7,7,6,7,7,7,7,6,6,7,7,-99,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,yes,0.497,1.618,7.507,3,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,5,7,5,7,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,5,7,7,6,7,6,7,6,7,7,6,7,7,7,7,6,7,7,7,7,6,7,5,7,6,7,6,7,7,7,7,6,6,7,7,Qual1439-0913GPNational,5bbe5804-360c-4487-a7c9-de9ffcd8f357,3126766,1,,white,1
2018-10-10T13:52:55Z,2018-10-10T14:00:34Z,0,38.88.201.34,100,459,1,2018-10-10T14:00:35Z,R_pRGLI9vfqTWRJzr,,,,,40.7516937255859375,-73.970703125,anonymous,EN,1,1,1,2,4,5,3,11,2,1,-99,-99,-99,-99,-99,25,2,2,0,2,2,2,2,2,3,2,2,2,2,2,1,7,7,7,7,1,4,-99,-99,2,1,2,2,5,1,1,2,1,2,4,3,3,2,3,4,4,3,4,3,3,3,4,3,3,3,3,4,4,4,4,4,3,5,3,4,3,4,4,4,4,4,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,1,1,1,1,3,3,4,2,3,3,2,3,4,5,4,5,3,-99,-99,,NA,NA,NA,NA,-99,0,0,24.538,0,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,3,5,4,6,5,6,4,5,5,5,4,5,6,5,4,5,5,5,6,5,4,5,5,5,5,5,4,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,6,4,5,5,5,5,Qual1439-0913GPNational,5bbe5890-5bfc-4ca7-86e0-993de5742516,3126766,1,,white,1
