defn,risks
simple,5
complex,6
complex,4
complex,7
simple,7
simple,3
complex,4
simple,7
simple,1
simple,4
simple,6
simple,6
simple,5
simple,5
complex,5
simple,1
complex,7
complex,5
simple,6
complex,6
complex,4
complex,3
simple,4
simple,5
complex,3
complex,7
simple,4
simple,1
complex,5
complex,6
simple,6
simple,7
complex,5
simple,3
complex,6
complex,7
complex,4
complex,4
complex,5
simple,5
complex,5
complex,7
complex,4
simple,5
complex,5
complex,6
complex,5
simple,7
complex,4
simple,5
simple,4
simple,4
simple,6
simple,4
complex,6
complex,4
complex,4
simple,7
simple,4
complex,3
complex,1
simple,4
complex,5
simple,1
complex,6
complex,7
simple,4
complex,7
complex,4
complex,4
simple,3
complex,6
complex,7
complex,7
complex,3
complex,4
simple,1
simple,5
simple,5
simple,3
simple,5
simple,4
simple,4
simple,5
complex,6
complex,7
complex,3
complex,5
complex,1
simple,5
complex,5
simple,3
simple,7
complex,4
simple,4
complex,4
complex,5
complex,7
simple,4
complex,3
complex,4
complex,6
complex,6
simple,7
complex,1
complex,7
complex,5
complex,5
complex,5
simple,2
complex,6
complex,2
complex,4
simple,4
simple,3
simple,4
simple,4
simple,6
complex,4
complex,6
complex,4
simple,4
simple,7
complex,5
simple,4
complex,4
simple,2
complex,3
complex,2
simple,5
complex,6
complex,7
simple,3
simple,6
complex,4
complex,6
complex,6
complex,5
complex,4
simple,6
complex,5
simple,3
simple,7
simple,5
simple,5
simple,3
simple,4
complex,4
complex,6
complex,5
simple,4
simple,4
simple,4
simple,1
simple,4
complex,4
simple,4
simple,4
simple,1
complex,4
complex,4
simple,4
simple,6
complex,4
simple,2
complex,7
complex,5
complex,6
simple,4
simple,7
simple,2
simple,4
simple,4
simple,5
simple,4
simple,4
simple,5
complex,5
complex,4
complex,7
complex,4
simple,2
complex,4
simple,4
simple,4
simple,5
simple,6
complex,5
simple,5
complex,4
complex,3
complex,5
complex,5
simple,5
simple,7
simple,5
complex,7
complex,6
complex,4
simple,4
complex,6
simple,2
simple,7
complex,6
simple,1
complex,5
complex,5
complex,5
complex,3
simple,5
simple,4
complex,2
complex,7
simple,6
simple,3
complex,6
simple,4
simple,5
simple,4
simple,7
complex,1
simple,7
complex,6
complex,5
complex,5
simple,2
simple,4
complex,7
complex,4
simple,5
complex,4
simple,3
complex,5
simple,4
simple,6
complex,5
complex,1
simple,6
simple,4
simple,5
complex,4
simple,4
simple,5
complex,4
complex,5
complex,5
complex,5
simple,7
complex,4
simple,3
simple,4
complex,3
complex,4
simple,3
complex,7
complex,3
complex,4
simple,6
complex,7
complex,4
complex,5
simple,5
complex,5
complex,5
simple,4
simple,3
complex,5
simple,5
complex,6
complex,4
simple,2
simple,4
complex,5
simple,6
simple,5
simple,4
complex,6
simple,3
simple,3
complex,4
complex,6
complex,7
complex,4
complex,5
complex,3
simple,2
simple,5
simple,6
complex,7
complex,6
complex,3
complex,4
simple,4
complex,4
complex,4
simple,5
simple,4
simple,6
simple,2
complex,4
complex,6
simple,4
complex,4
complex,3
complex,6
complex,6
complex,2
complex,5
simple,7
simple,5
complex,4
complex,7
simple,2
complex,7
complex,5
simple,5
complex,4
simple,5
simple,2
complex,7
simple,4
complex,5
complex,6
simple,6
complex,4
complex,6
complex,4
complex,4
simple,6
simple,7
complex,5
simple,4
simple,3
simple,7
complex,4
complex,6
complex,6
simple,7
simple,4
simple,7
simple,4
complex,7
simple,4
simple,6
complex,5
complex,5
complex,6
simple,5
simple,3
complex,4
complex,6
simple,1
complex,3
complex,5
complex,5
simple,4
simple,2
simple,3
complex,4
complex,5
complex,2
complex,3
simple,4
complex,5
complex,7
simple,7
simple,6
simple,3
simple,6
simple,5
simple,4
complex,4
complex,4
simple,3
simple,4
simple,4
simple,5
simple,4
simple,5
complex,4
simple,4
complex,4
complex,7
simple,7
simple,4
simple,3
complex,5
complex,7
simple,4
complex,2
complex,4
complex,7
simple,1
complex,4
simple,1
complex,6
simple,3
complex,6
complex,4
simple,5
simple,4
complex,6
complex,7
simple,7
complex,7
simple,5
complex,4
simple,7
complex,6
complex,4
simple,4
simple,5
simple,5
complex,4
complex,4
complex,5
complex,4
complex,2
complex,3
simple,5
simple,4
complex,5
complex,3
simple,4
simple,6
simple,2
complex,7
complex,5
complex,5
complex,6
complex,4
simple,4
complex,4
complex,7
complex,1
simple,6
simple,6
simple,5
simple,6
simple,4
simple,6
simple,4
complex,4
simple,4
simple,4
simple,4
simple,1
complex,6
simple,6
complex,5
simple,4
simple,4
complex,6
complex,7
simple,3
simple,5
simple,6
complex,7
complex,3
simple,1
complex,4
simple,7
simple,5
simple,4
simple,4
complex,4
complex,7
complex,5
complex,5
simple,6
complex,4
complex,5
simple,7
simple,4
complex,5
complex,3
complex,5
complex,4
simple,2
complex,2
complex,4
complex,3
simple,3
complex,5
simple,4
simple,5
complex,1
complex,7
simple,5
simple,4
simple,6
simple,4
complex,4
simple,4
complex,6
complex,4
complex,4
complex,4
complex,6
complex,5
simple,4
simple,2
simple,6
complex,5
simple,5
simple,7
simple,5
simple,4
simple,4
simple,4
simple,2
complex,5
complex,4
complex,6
complex,6
simple,3
complex,4
complex,5
complex,1
simple,1
simple,5
simple,3
complex,7
simple,7
complex,4
simple,1
simple,5
simple,4
complex,7
complex,4
simple,7
simple,4
simple,6
simple,2
simple,6
simple,5
simple,4
simple,4
simple,3
simple,7
complex,1
complex,5
simple,5
simple,2
complex,4
complex,4
complex,4
complex,4
complex,4
complex,4
simple,4
simple,4
simple,7
complex,7
simple,4
simple,1
simple,1
simple,6
complex,5
simple,5
complex,5
simple,4
simple,4
complex,4
simple,3
complex,4
simple,6
complex,3
simple,2
complex,7
complex,6
complex,7
simple,4
complex,4
simple,6
complex,7
simple,7
complex,4
complex,2
simple,7
complex,2
complex,4
complex,5
complex,4
complex,2
complex,5
complex,3
simple,4
simple,6
simple,5
simple,4
simple,7
simple,4
complex,6
simple,6
complex,6
complex,5
complex,4
complex,1
complex,5
complex,4
complex,3
complex,4
simple,2
simple,6
simple,7
complex,6
complex,3
complex,4
complex,5
simple,2
simple,7
complex,4
simple,4
complex,3
simple,2
simple,6
simple,5
complex,1
simple,2
complex,5
simple,4
simple,3
complex,3
simple,5
complex,6
complex,4
simple,3
simple,6
simple,5
simple,4
complex,7
simple,1
complex,4
simple,6
simple,6
simple,1
simple,4
simple,2
complex,3
complex,4
complex,4
simple,4
complex,5
simple,4
complex,6
complex,7
complex,4
simple,5
complex,1
complex,4
simple,4
simple,6
complex,3
simple,3
simple,4
simple,5
simple,4
simple,4
simple,7
complex,6
complex,4
complex,5
simple,6
simple,4
complex,4
complex,4
simple,7
complex,6
simple,5
simple,4
simple,6
complex,4
simple,4
simple,4
complex,4
simple,7
complex,4
simple,1
complex,7
complex,4
simple,6
complex,5
simple,7
complex,4
complex,4
complex,4
complex,5
complex,4
simple,4
complex,5
complex,6
complex,6
simple,3
simple,5
simple,4
complex,2
complex,4
simple,7
simple,5
complex,6
simple,6
complex,6
complex,4
complex,3
complex,2
simple,7
complex,6
simple,2
complex,4
simple,1
complex,3
simple,5
complex,6
complex,2
complex,6
simple,4
simple,6
simple,6
complex,5
complex,4
complex,3
simple,4
complex,1
complex,5
complex,4
complex,4
complex,4
simple,5
simple,6
complex,7
simple,1
simple,4
simple,4
simple,4
complex,5
complex,4
simple,6
complex,5
simple,4
simple,1
complex,4
simple,5
complex,2
simple,4
complex,4
complex,5
simple,1
simple,2
simple,7
complex,7
simple,4
simple,7
simple,4
simple,6
complex,4
simple,6
simple,4
complex,5
simple,2
complex,1
simple,7
complex,7
complex,7
complex,6
complex,5
complex,6
complex,3
simple,5
simple,5
complex,2
complex,4
complex,4
complex,5
simple,5
complex,4
simple,4
simple,4
simple,4
simple,2
complex,5
complex,5
complex,3
simple,2
complex,4
simple,6
complex,4
complex,1
simple,3
simple,4
complex,5
complex,5
simple,5
simple,4
simple,1
complex,6
simple,6
simple,1
simple,4
simple,4
simple,2
simple,5
complex,5
complex,4
simple,3
simple,3
simple,7
simple,7
simple,5
simple,4
simple,4
simple,7
complex,4
complex,4
complex,4
complex,4
simple,2
complex,1
complex,5
complex,6
complex,6
simple,4
simple,6
simple,6
simple,2
complex,7
complex,1
simple,6
simple,5
simple,3
complex,5
complex,3
simple,7
complex,7
complex,5
simple,3
simple,4
complex,3
complex,5
complex,5
simple,4
complex,7
simple,3
simple,2
simple,2
simple,4
complex,3
simple,5
simple,4
complex,4
complex,5
simple,4
complex,2
simple,4
complex,3
complex,4
simple,7
complex,3
complex,4
simple,1
complex,7
complex,7
simple,1
simple,6
complex,6
complex,5
complex,4
simple,4
simple,3
complex,4
simple,4
complex,2
complex,7
complex,3
simple,3
simple,5
simple,3
complex,5
complex,7
simple,4
complex,5
simple,7
simple,4
complex,4
simple,4
simple,7
simple,1
complex,4
complex,5
complex,7
complex,7
complex,4
simple,4
complex,6
complex,4
complex,4
simple,3
simple,5
simple,2
complex,4
simple,6
simple,5
simple,2
simple,4
simple,7
complex,4
complex,6
complex,4
simple,4
complex,4
complex,3
simple,1
complex,6
simple,7
complex,1
complex,6
simple,4
complex,3
simple,6
simple,2
simple,5
complex,4
simple,4
complex,5
complex,4
simple,3
complex,7
complex,4
simple,1
simple,1
complex,7
simple,4
simple,2
simple,4
simple,4
complex,5
simple,2
complex,5
complex,5
simple,4
simple,7
complex,4
simple,5
complex,3
simple,3
simple,5
simple,2
complex,7
simple,4
complex,4
simple,5
complex,6
simple,7
simple,3
simple,5
complex,1
simple,4
simple,4
complex,5
simple,4
complex,4
simple,3
simple,4
simple,5
complex,5
simple,4
simple,5
complex,6
complex,1
complex,6
complex,4
complex,4
simple,4
complex,4
simple,3
simple,4
complex,2
complex,6
simple,7
simple,6
simple,5
complex,3
complex,1
complex,2
simple,4
simple,6
simple,4
complex,4
complex,6
simple,1
complex,7
simple,6
complex,6
complex,4
complex,3
complex,7
simple,7
complex,1
simple,4
simple,1
simple,7
complex,4
complex,4
simple,5
simple,5
simple,3
complex,2
complex,1
complex,4
simple,4
simple,4
complex,4
simple,5
simple,5
simple,4
simple,7
simple,4
simple,4
simple,4
simple,2
simple,7
simple,4
complex,4
simple,5
simple,7
simple,4
simple,4
complex,5
simple,5
complex,6
complex,2
simple,5
complex,1
complex,6
simple,7
simple,4
simple,7
complex,1
complex,7
complex,7
simple,4
complex,5
complex,7
