stim,mirth,parori,likable,expert,relig,cons
1,5.333333333,4,7,7,5,4
1,6,5.5,7,7,5,6
1,3.333333333,4.5,3.75,4.25,3,4.5
0,2.333333333,2.5,5.25,4.25,7,7
1,7,6.5,7,7,5,3
0,4.666666667,4,6,6,4,5.5
0,2,2,3.25,2.75,1,3.5
1,5.666666667,4,5.25,6,6,6
1,5,6.5,6.25,5.5,7,5
0,3,3.5,4,4,5,4.5
0,3,1,4.75,4.75,7,6
0,5.333333333,1,5.25,6.25,7,6
0,3,1,2.5,3.75,1,4
1,4.666666667,3.5,5.25,5.25,1,3
0,3.666666667,6,4.5,6,6,6
1,5.666666667,4,6,5,7,7
1,4.333333333,4.5,4,4,3,1.5
1,5.666666667,6,6.25,6,5,4.5
0,4,3.5,5,4.25,4,6.5
1,6.333333333,4.5,7,6.5,2,4.5
0,1.666666667,3,5,4.5,4,6.5
1,2.666666667,3,6.25,4.5,1,2.5
0,3.333333333,4.5,7,7,1,2
1,6,3.5,4.5,4.5,7,6
0,4.333333333,2.5,4.75,4,6,6
0,2,2.5,6.25,6,6,3.5
0,4.333333333,4,5.75,6,3,6
1,4.333333333,4,4,4,4,4.5
1,5,5,6.25,6,1,2
0,4.333333333,4.5,3.75,6,7,6
1,6,4,6,6,7,5.5
1,4,5,7,6.75,3,5
1,5,4,5.5,6.5,1,3
0,4,5,4.75,6,4,4.5
0,4.333333333,4,4.75,5,4,5.5
1,5.333333333,3.5,5.75,6.5,7,7
0,1,2,3.5,4.75,7,6
0,3,5.5,3,5,5,6.5
0,3,1,5.25,6,7,3.5
1,4.666666667,3.5,5,5.25,6,5
1,4.666666667,5.5,5.5,4.5,1,4.5
0,3,4.5,5,5.25,3,4
0,3.666666667,5,5.25,5.5,5,3
0,4.333333333,4.5,3.75,3.5,1,2.5
1,2.333333333,4,7,7,2,3.5
0,1.666666667,4.5,3,7,4,4
1,4,5,5.75,6.5,6,2
1,4,4,4.75,4.25,4,2.5
0,4.666666667,4,4.25,5,6,5.5
1,7,4.5,7,7,7,6
1,5.666666667,3.5,7,7,1,1.5
0,5,3,6.75,6.25,5,3.5
0,3,3,2.5,4.5,6,5
0,4,5.5,5.5,6,2,5
0,6,4.5,5.75,6.75,5,3
1,3.333333333,3,4.25,4.5,2,4.5
0,4.666666667,4.5,5.25,5,6,5
0,5,4,4.5,5.5,5,3.5
1,6,4,4.5,4.5,2,3
1,6.666666667,3.5,7,6,5,5
1,5.666666667,4,5,4.75,6,4.5
0,4.333333333,4.5,7,7,4,2
0,4,5,4,4,1,4
1,5.666666667,5,7,6.5,7,7
0,4,4,5,5.25,7,5
1,5.333333333,5,4.5,4.5,2,4
0,2,1.5,3.5,4.5,1,3.5
0,2,4.5,3.5,3.75,4,3
0,4.666666667,4.5,4.75,4.75,6,4.5
0,4,4,3.5,5,3,4
1,7,3.5,6.5,6.5,2,5
0,5.666666667,4.5,7,7,6,4
1,4,3,3.25,3.75,5,4.5
1,4,4,4,4,4,4
1,5.333333333,5,7,5,5,6.5
0,5,3,4.5,4.75,1,1
1,3.666666667,3,3.5,3.25,7,3
0,5,3,4.75,5,4,5
1,6,5.5,7,6.75,1,3.5
0,6,5.5,5.75,6,1,3
0,4.666666667,3,3,3.5,1,3.5
1,7,6,6,6,1,3.5
0,6.666666667,6,6.75,6.5,2,3
1,4.333333333,4.5,5.25,6,4,5
1,6,6,7,6.25,2,2.5
1,5.333333333,5,5.25,5.5,1,4.5
0,3,3.5,4.5,5.25,7,7
1,1,4,6,5,7,6
0,4,4,2.5,6,7,6.5
1,4.333333333,3,4.5,4.5,5,4.5
0,4,4,4,4.5,7,5
0,4,4,6,6.25,4,4
1,6,4.5,6,5.75,5,4
0,3,3,4.75,5,7,6
1,3.666666667,3.5,5.5,5,4,2
0,4.333333333,5.5,5,4.75,1,4
1,5.666666667,5,3.25,2.75,4,3
0,2,2,5,4.25,7,2
0,3,3.5,4.75,5.25,4,3.5
1,4.666666667,5,6,6,2,4.5
1,6.666666667,5,6,6,2,3
1,6.333333333,3.5,5.75,5.75,3,2
1,4,2.5,6.5,7,4,5.5
0,5,5,5,5.333333333,3,1
0,3,4,6,6.75,3,4
0,3.666666667,3.5,4.5,3,5,5
1,1.333333333,2,4.75,3.5,5,2.5
0,5,4,5.25,6.25,5,4
1,5.333333333,5,5.25,5.75,5,3
0,4.333333333,6.5,5.5,6,4,5
0,4.333333333,4,6,5,5,3.5
0,1,2.5,4.75,5,1,6
1,7,7,6.25,7,6,3
0,5.666666667,4.5,5,5,7,5
1,5,5,6,5.5,1,4
1,2.666666667,3,5,3.75,1,1.5
1,4.333333333,1,2.5,5.5,7,5
1,6.333333333,3.5,6,6,1,3
0,6,5.5,7,6.5,7,6
1,3.666666667,3,3.75,3.75,1,2.5
1,4.333333333,4.5,4.25,3.75,6,6
0,4.333333333,4.5,6.5,5.5,7,6.5
1,6,2,5,3.5,4,5.5
0,6,3.5,6.5,7,6,4.5
0,6.666666667,5,5,4.75,4,3.5
0,4,2,4.5,4.75,7,7
0,4,5,5.75,6,1,4.5
1,5,6.5,5.75,6,4,4.5
1,3,3.5,3.75,4,3,4
0,5,3,4,4,7,4
0,2.666666667,4.5,4,4.25,6,2
0,2,5,7,7,2,3.5
1,6,4.5,5.75,5.25,1,3.5
1,7,3.5,6,5.5,2,2
1,4.666666667,3,5,3.75,5,6
0,6.666666667,4,5.75,6,4,4.5
1,5.333333333,2,6,5.75,7,3
0,2,4,5.75,6,3,5
1,7,7,7,7,2,3.5
0,1.333333333,1.5,2,5.25,7,3
1,6.666666667,1.5,6.5,5.5,7,5
1,4.666666667,5.5,7,6.5,5,7
1,6,2.5,5,4.5,3,4.5
1,6,3.5,5.75,4.75,3,4
0,5,4.5,5.5,5.75,4,3
0,3,3,5,4.75,3,4.5
0,4,4,4,4,3,4
1,7,4.5,6,5.5,4,1.5
0,1,3,3,4.25,2,5
0,3,2,6,6.5,5,2.5
1,5.666666667,4,5.25,4.75,6,5
0,3.333333333,2,3.75,3.75,5,3.5
1,7,6.5,5.25,6.75,1,1
1,6,5,7,5.25,7,6
1,1,2,3,3.5,6,5
0,6,5,6,6,5,2
1,5.333333333,1,5,5,4,5
0,2.333333333,4,5,4.5,2,5
0,4.333333333,4,6,6,1,3.5
1,5,2,4,3.75,7,6
0,3.666666667,1.5,3.5,3.25,5,4.5
0,1,1.5,3.25,5.25,6,5.5
1,1,7,6,6.25,3,4.5
0,5,6.5,6.5,6.75,4,5
1,5.333333333,6.5,6.25,6.75,2,1.5
0,7,4,6.75,6.25,3,3
1,5.333333333,2,6,4.25,6,6.5
1,4,5,6,6,2,3
0,4,4,4,4,2,3.5
0,4.666666667,5,5.75,5.5,3,2.5
1,7,4.5,7,7,4,4.5
0,3,6,7,7,3,5
1,4.666666667,4,5,4.25,3,4
0,3.666666667,2.5,4.25,4.5,1,2
0,5.666666667,4.5,6.75,7,4,7
0,4,3.5,3.75,4,7,6
1,5.666666667,6,5.5,5.25,7,3
0,1.666666667,3.5,3.75,6.75,6,3
1,7,5,6.25,6.5,2,2.5
1,5,3,5.5,4.25,6,5.5
0,2.333333333,4,7,7,4,3
0,2.333333333,4,6,6,4,4
1,5,4,6.25,6.25,5,4
1,5.333333333,5,6,6,6,5
0,1,1,1,1,7,7
1,5,3,5.5,6,5,6
0,1,1,5,3.25,6,5
 , , , , , , 
0,3,3,6.75,6.25,5,4.5
 , , , , , , 
1,6.333333333,5,5.25,4.75,4,3
1,5.666666667,3.5,5,4.75,6,5.5
0,2,4,3.5,5.25,7,3.5
1,4,3,4.5,5.75,4,5.5
1,5,5.5,6,6,5,5
1,6,5.5,4.5,6,4,3.5
0,1.666666667,2.5,5,4,7,7
